reviewer_code,item_id,domain_familiarity_1_5,novelty_A_1_5,novelty_B_1_5,excitement_A_1_5,excitement_B_1_5,feasibility_A_1_5,feasibility_B_1_5,expected_effectiveness_A_1_5,expected_effectiveness_B_1_5,overall_A_1_5,overall_B_1_5,baseline_grounding_A_1_5,baseline_grounding_B_1_5,experimental_rigor_A_1_5,experimental_rigor_B_1_5,mechanism_specificity_A_1_5,mechanism_specificity_B_1_5,implementation_readiness_A_1_5,implementation_readiness_B_1_5,preference_A_B_tie,confidence_1_5,rationale_required,concerns_optional,minutes_spent
iad_expert,HUM-7d26d56c23,,,,,,,,,,,,,,,,,,,,,,,,
iad_expert,HUM-24479ba8f8,,,,,,,,,,,,,,,,,,,,,,,,
iad_expert,HUM-30f3f8ee4e,,,,,,,,,,,,,,,,,,,,,,,,
iad_expert,HUM-c050632885,,,,,,,,,,,,,,,,,,,,,,,,
iad_expert,HUM-c8e7b27925,,,,,,,,,,,,,,,,,,,,,,,,
iad_expert,HUM-fa1f6cdf8b,,,,,,,,,,,,,,,,,,,,,,,,
iad_expert,HUM-86495bbbe7,,,,,,,,,,,,,,,,,,,,,,,,
iad_expert,HUM-c141c05031,,,,,,,,,,,,,,,,,,,,,,,,
iad_expert,HUM-aa54b53ab9,,,,,,,,,,,,,,,,,,,,,,,,
iad_expert,HUM-d65d1dfcee,,,,,,,,,,,,,,,,,,,,,,,,
iad_expert,HUM-f89e17a8c9,,,,,,,,,,,,,,,,,,,,,,,,
iad_expert,HUM-690d58f500,,,,,,,,,,,,,,,,,,,,,,,,
iad_expert,HUM-a24a9a1add,,,,,,,,,,,,,,,,,,,,,,,,
iad_expert,HUM-fc34d6a0f0,,,,,,,,,,,,,,,,,,,,,,,,
iad_expert,HUM-8b0669455a,,,,,,,,,,,,,,,,,,,,,,,,
iad_expert,HUM-61bc1d0f2a,,,,,,,,,,,,,,,,,,,,,,,,
iad_expert,HUM-a81c563b16,,,,,,,,,,,,,,,,,,,,,,,,
iad_expert,HUM-c02a218f47,,,,,,,,,,,,,,,,,,,,,,,,
iad_expert,HUM-531d656c59,,,,,,,,,,,,,,,,,,,,,,,,
iad_expert,HUM-f2a6b4d4f7,,,,,,,,,,,,,,,,,,,,,,,,
