reviewer_code,item_id,domain_familiarity_1_5,novelty_A_1_5,novelty_B_1_5,excitement_A_1_5,excitement_B_1_5,feasibility_A_1_5,feasibility_B_1_5,expected_effectiveness_A_1_5,expected_effectiveness_B_1_5,overall_A_1_5,overall_B_1_5,baseline_grounding_A_1_5,baseline_grounding_B_1_5,experimental_rigor_A_1_5,experimental_rigor_B_1_5,mechanism_specificity_A_1_5,mechanism_specificity_B_1_5,implementation_readiness_A_1_5,implementation_readiness_B_1_5,preference_A_B_tie,confidence_1_5,rationale_required,concerns_optional,minutes_spent
physical_property_expert,HUM-1dd69f586c,,,,,,,,,,,,,,,,,,,,,,,,
physical_property_expert,HUM-c8a31f7adc,,,,,,,,,,,,,,,,,,,,,,,,
physical_property_expert,HUM-dec8306816,,,,,,,,,,,,,,,,,,,,,,,,
physical_property_expert,HUM-0415b0073a,,,,,,,,,,,,,,,,,,,,,,,,
physical_property_expert,HUM-1b8a6a088f,,,,,,,,,,,,,,,,,,,,,,,,
physical_property_expert,HUM-15f39d9f19,,,,,,,,,,,,,,,,,,,,,,,,
physical_property_expert,HUM-df4895517c,,,,,,,,,,,,,,,,,,,,,,,,
physical_property_expert,HUM-cb06516dab,,,,,,,,,,,,,,,,,,,,,,,,
physical_property_expert,HUM-6b77d8b144,,,,,,,,,,,,,,,,,,,,,,,,
physical_property_expert,HUM-b977c57de7,,,,,,,,,,,,,,,,,,,,,,,,
physical_property_expert,HUM-bc3c559211,,,,,,,,,,,,,,,,,,,,,,,,
physical_property_expert,HUM-c85f8d38f4,,,,,,,,,,,,,,,,,,,,,,,,
physical_property_expert,HUM-3eba5986cd,,,,,,,,,,,,,,,,,,,,,,,,
physical_property_expert,HUM-c879276618,,,,,,,,,,,,,,,,,,,,,,,,
physical_property_expert,HUM-0e6790e6e4,,,,,,,,,,,,,,,,,,,,,,,,
physical_property_expert,HUM-62ced0931c,,,,,,,,,,,,,,,,,,,,,,,,
physical_property_expert,HUM-73132c909d,,,,,,,,,,,,,,,,,,,,,,,,
physical_property_expert,HUM-4ee458bedd,,,,,,,,,,,,,,,,,,,,,,,,
physical_property_expert,HUM-bb32f1ba00,,,,,,,,,,,,,,,,,,,,,,,,
physical_property_expert,HUM-0ba295c926,,,,,,,,,,,,,,,,,,,,,,,,
